"newspaper_edition_date","headline"
2021-10-20,"English vaccine centres to take children’s bookings from next week"
NA,"Biden faces vaccine mandate pushback from own party despite support of scientists"
2021-07-31,"‘I’m double-vaxxed and won’t spit on you!’ Six standups on returning to live comedy"
NA,"Hesitancy, inequity: is the US ‘making the same mistakes’ with kids’ vaccines?"
NA,"Covid outbreak among vaccinated Vegas hospital workers underscores Delta risks"
NA,"Australia’s surplus AstraZeneca Covid vaccines will be donated to neighbouring countries"
NA,"Who says it’s no big deal if the Covid vaccine temporarily disrupts menstrual cycles? "
NA,"US to lift Covid travel ban for vaccinated passengers from UK and most of EU"
NA,"Australia Covid update: as most Victoria restrictions lift next month, ‘vaccinated economy’ to stay for 2022"
2021-08-05,"Covid vaccines to be offered to all UK 16- and 17-year-olds"
2021-07-14,"‘Mixed advice’ driving Covid vaccine hesitancy in pregnant UK women"
2021-07-17,"Pressure builds on ministers to reach a decision on Covid vaccines for children"
NA,"Fewer than than 0.1% of NSW health staff have quit due to Covid vaccination mandates"
NA,"NSW Covid update: premier ‘confident’ Sydney lockdown will end for vaccinated residents on 11 October"
NA,"New Zealand anti-vaccine mandate protests: police and photographer attacked"
NA,"Queensland to reopen border early as state nears 80% double vaccination"
2021-06-30,"Australia Covid lockdowns spread amid confusion over vaccine advice"
2021-07-24,"Gareth Southgate joins campaign to encourage people to get Covid vaccine"
2021-06-29,"India’s Covid gender gap: women left behind in vaccination drive"
NA,"NSW Covid vaccination recording process gets overhaul but experts say more needs to be done"
NA,"Scotland delays vaccine passport enforcement – as it happened"
2021-05-18,"Long Covid symptoms ease after vaccination, survey finds"
NA,"Tiny Victorian town could lose its only post office as operator refuses Covid vaccine"
NA,"Covid-19 vaccine booster shots: where and when you can get your third dose in Australia"
2021-11-17,"The Guardian view on vaccine justice: what the world needs now"
NA,"Victoria to ditch restrictions for fully vaccinated people from midnight"
2021-08-11,"Germany to abolish free Covid testing in bid to get more people vaccinated"
2021-07-30,"Polarization over Covid vaccine prompts some Americans to get shot in secret"
NA,"Airbnb suspends Victorian host who rejected couple for receiving Covid vaccine"
NA,"Covid vaccine programme for developing countries could cost just $6.5bn"
NA,"NSW Covid update: Gladys Berejiklian says entry to venues will be illegal without a vaccine"
NA,"Vaccines opened to over 16s in Victoria as 50 new Covid cases recorded"
NA,"Australia ‘at back of the queue’ for Pfizer Covid vaccines, minister admits"
NA,"Covid: letting fully vaccinated skip quarantine in England ‘will cause resentment’"
2021-06-05,"The pros and cons of giving Covid vaccines to UK children"
NA,"‘Vaccine won’t give you Covid’: health officials battle anti-vaccination messages in northern rivers"
NA,"WHO voices concerns over Sputnik V Covid vaccine plant"
NA,"Australian government scales back supply projections for AstraZeneca Covid-19 vaccine"
2021-09-22,"Holiday homes for disabled people face closure due to England’s vaccines mandate"
NA,"Australian Covid vaccine study shows social restrictions and cash would slash hesitancy"
NA,"New Zealand Covid outbreak linked to Sydney flight as Ardern widens vaccine rollout"
NA,"Jimmy Kimmel on the Aaron Rodgers vaccine saga: ‘This is a dumb conversation’"
NA,"In Kawerau one thing impedes the effort to vaccinate Māori: New Zealand’s history"
NA,"Federal Covid taskforce’s vaccination surge in Indigenous communities a ‘mad scramble’, ALP says"
NA,"Why suggesting mandatory Covid vaccinations is an ethical minefield"
NA,"Scott Morrison blames Atagi doctors for Australia’s slow Covid vaccine rollout"
2021-08-09,"UK set to ‘hoard’ up to 210m doses of Covid vaccine, research suggests"
2021-08-07,"Six EU states overtake UK Covid vaccination rates as Britain’s rollout slows"
NA,"Fauci says no immediate need for Covid booster for fully vaccinated Americans"
NA,"More than 50m Covid vaccine doses given in England"
NA,"Fox News backs Covid vaccination – a pity no one told Tucker Carlson"
NA,"London stadiums host ‘super Saturday’ of mass rapid Covid vaccinations "
NA,"Most nurses are vaccinated – so why do people think health workers are vaccine hesitant? "
2021-07-15,"GP staff receive abuse every day over Covid vaccine reminders"
NA,"Coalition MPs cross floor to support Craig Kelly vaccine mandate motion – as it happened"
NA,"Call to vaccinate younger Australians as data reveals they’re hardest hit by Covid"
NA,"‘If I get fired, so be it’: the Louisiana nurses refusing to get the Covid vaccine"
2021-08-14,"‘I knew supply was coming’: how Canada’s push for Covid vaccines paid off"
NA,"New report urges Australia to help ‘vaccinate the world’ by donating 20m extra Covid jab doses"
NA,"Flaw in Japan Covid vaccine booking system causes disarray"
